Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,,,
C1,100n,C_0402_1005Metric,72.65,13.05,-90,T,,,,
C2,1u 16V,C_0603_1608Metric,72.5,7.85,-90,T,,,,
C3,1u 16V,C_0603_1608Metric,34.75,53.55,180,T,,,,
C4,100n,C_0402_1005Metric,32.1,51.25,90,T,,,,
C5,100n,C_0402_1005Metric,34.65,52.3,180,T,,,,
C6,100n,C_0402_1005Metric,56.2,28.35,180,T,,,,
C7,100n,C_0402_1005Metric,37.7,32.35,-90,T,,,,
C8,100n,C_0402_1005Metric,59.45,27.25,90,T,,,,
C9,10u,C_0805_2012Metric,23.3,78.7,90,T,,,,
C10,100n,C_0402_1005Metric,30.2,71.65,-90,T,,,,
C11,4u7 16V,C_0603_1608Metric,40.5,43.5,90,T,,,,
C12,100n,C_0402_1005Metric,41.75,43.6,-90,T,,,,
C13,4u7 16V,C_0603_1608Metric,56.9,31.3,180,T,,,,
C14,100n,C_0402_1005Metric,56.9,32.5,0,T,,,,
C15,10n,C_0402_1005Metric,68.4,52.7,0,T,,,,
C16,1u 16V,C_0603_1608Metric,70.1,51.75,90,T,,,,
C17,1u 16V,C_0603_1608Metric,71.6,51.75,90,T,,,,
C18,100n,C_0402_1005Metric,67.95,51.3,90,T,,,,
C19,1u 16V,C_0603_1608Metric,40.55,36.85,-90,T,,,,
C20,100n,C_0402_1005Metric,41.75,37.5,90,T,,,,
C21,6p8,C_0402_1005Metric,70.6125,48.3,90,T,,,,
C22,6p8,C_0402_1005Metric,70.6125,46.45,-90,T,,,,
C23,100n,C_0402_1005Metric,67.95,38.6,90,T,,,,
C24,100n,C_0402_1005Metric,68,44.1,90,T,,,,
C25,100n,C_0402_1005Metric,64,58.65,180,T,,,,
C26,100n,C_0402_1005Metric,56.35,58.7,180,T,,,,
C27,100n,C_0402_1005Metric,45.595,58.55,180,T,,,,
C28,100n,C_0402_1005Metric,41.75,49.1,-90,T,,,,
C29,100n,C_0402_1005Metric,41.75,35.65,90,T,,,,
C30,100n,C_0402_1005Metric,68.4,49.9,0,T,,,,
C31,100n,C_0402_1005Metric,51.85,32.5,0,T,,,,
C32,100n,C_0402_1005Metric,63.7,32.5,0,T,,,,
C33,1u 16V,C_0603_1608Metric,64.55,59.9,0,T,,,,
C34,1u 16V,C_0603_1608Metric,70.15,43.5,-90,T,,,,
